CODIGO;PROVEDOR;ALMACEN;MAC;SERIAL;FECHA LLEGADA;FECHA INSTALACION;MARCA;ASIGNADO A:;ESTADO;OBSERVACION
999;RECOGIDO;4;E0:67:B3:27:B6:89;BA1305-1803000220;;04/01/2020;EOC;2400;BUENO;INSTALACION 
1101;RECOGIDO;4;E0:67:B3:A3:83:13;BA1305-1901002167;23/01/2020;15/05/2020;WIFI;3281;BUENO;INSTALACION 
1102;RECOGIDO;4;E8:9F:EC:06:A2:35;290100893540608;23/01/2020;24/01/2020;KINTYPE;2091;MALO;CAMBIO 
1103;RECOGIDO;4;E067B3A38390;BA1305-1901002183;23/01/2020;25/01/2020;WIFI;50218;BUENO;INSTALACION 
1104;RECOGIDO;4;E067B327BE36;BA1305-1803333466;23/01/2020;25/01/2020;WIFI;1133;BUENO;INSTALACION 
1105;RECOGIDO;4;000F1E709EA0;271000788130011;23/01/2020;25/01/2020;KINTYPE;1481;BUENO;INSTALACION
1106;Dicelar;4;E0:67:B3:EE:C8:D0;BA1310-1911004477;27/01/2020;28/01/2020;WIFI;3151;BUENO;INSTALACION 
1107;Dicelar;4;E0:67:B3:EE:C8:CB;BA1310-1911004476;27/01/2020;04/08/2020;WIFI;3119;BUENO;INSTALACION 
1108;Dicelar;4;E0:67:B3:EE:C8:F3;BA1310-1911004484;27/01/2020;28/01/2020;WIFI;3147;BUENO;INSTALACION 
1109;Dicelar;4;E0:67:B3:EE:C8:E9;BA1310-1911004482;27/01/2020;29/01/2020;WIFI;3149;BUENO;INSTALACION 
1110;Dicelar;4;E0:67:B3:EE:C8:EE;BA1310-1911004483;27/01/2020;29/01/2020;WIFI;2932;BUENO;INSTALACION 
1111;Dicelar;4;E0:67:B3:EE:C8:99;BA1310-1911004466;27/01/2020;29/01/2020;WIFI;3150;BUENO;INSTALACION 
1112;Dicelar;4;E0:67:B3:EE:C8:94;BA1310-1911004465;27/01/2020;29/01/2020;WIFI;3152;BUENO;INSTALACION 
1113;Dicelar;4;E0:67:B3:EE:C8:E4;BA1310-1911004481;27/01/2020;29/01/2020;WIFI;1138;BUENO;INSTALACION 
1114;Dicelar;4;E0:67:B3:EE:C8:DF;BA1310-1911004480;27/01/2020;29/01/2020;WIFI;2687;BUENO;INSTALACION 
1115;Dicelar;4;E0:67:B3:EE:C8:D0;BA1310-1911004479;27/01/2020;28/01/2020;WIFI;1980;BUENO;CAMBIO UTP
1116;Dicelar;4;E0:67:B3:EE:C8:C1;BA1310-1911004474;27/01/2020;31/01/2020;WIFI;3153;BUENO;INSTALACION 
1117;Dicelar;4;E0:67:B3:EE:C8:BC;BA1310-1911004473;27/01/2020;04/05/2020;WIFI;3263;BUENO;INSTALACION 
1118;Dicelar;4;E0:67:B3:EE:C8:9F;BA1310-1911004467;27/01/2020;04/02/2020;WIFI;3158;BUENO;INSTALACION 
1119;Dicelar;4;E0:67:B3:EE:C8:C6;BA1310-1911004475;27/01/2020;01/09/2020;WIFI;3376;MALO;CAMBIO
1120;Dicelar;4;E0:67:B3:EE:C8:D5;BA1310-1911004478;27/01/2020;06/08/2020;WIFI;3409;BUENO;INSTALACION 
1121;Dicelar;4;E0:67:B3:EE:C8:B7;BA1310-1911004472;27/01/2020;01/02/2020;WIFI;869;BUENO;INSTALACION 
1122;Dicelar;4;E0:67:B3:EE:C8:B2;BA1310-1911004471;27/01/2020;02/04/2020;WIFI;3215;BUENO;INSTALACION 
1123;Dicelar;4;E0:67:B3:EE:C8:A8;BA1310-1911004469;27/01/2020;19/03/2020;WIFI;3203;BUENO;INSTALACION 
1124;Dicelar;4;E0:67:B3:EE:C8:A3;BA1310-1911004468;27/01/2020;22/09/2020;WIFI;3488;BUENO;INSTALACION 
1125;Dicelar;4;E0:67:B3:EE:C8:AD;BA1310-1911004470;27/01/2020;07/02/2020;WIFI;3161;BUENO;INSTALACION 
1126;HESSAM;4;E0:67:B3:EE:77:22;BA1310-1911000297;08/01/2020;11/02/2020;WIFI;3163;BUENO;INSTALACION 
1127;HESSAM;4;E0:67:B3:EE:77:33;BA1310-1911000299;08/01/2020;21/05/2020;WIFI;50275;MALO;CAMBIO
1128;RECOGIDO;4;00F1E776A61;280400832030614,00;;07/02/2020;KINTYPE;335;BUENO;CAMBIO UTP
1149;Dicelar;4;E0:67:B3:ED:64:5C;BA1305-1909005181;10/02/2020;14/02/2020;Bestcom;2801;BUENO;INSTALACION 
1150;Dicelar;4;E0:67:B3:ED:64:64;BA1305-1909005182;10/02/2020;12/02/2020;Bestcom;684;MALO;CAMBIO TPL
1151;Dicelar;4;E0:67:B3:ED:64:6C;BA1305-1909005183;10/02/2020;12/02/2020;Bestcom;2234;BUENO;INSTALACION 
1152;Dicelar;4;E0:67:B3:ED:64:74;BA1305-1909005184;10/02/2020;12/02/2020;Bestcom;3165;BUENO;INSTALACION 
1153;Dicelar;4;E0:67:B3:ED:64:7C;BA1305-1909005185;10/02/2020;14/02/2020;Bestcom;3166;BUENO;INSTALACION 
1154;Dicelar;4;E0:67:B3:ED:64:84;BA1305-1909005186;10/02/2020;27/07/2020;Bestcom;3396;BUENO;INSTALACION 
1155;Dicelar;4;E0:67:B3:ED:64:8C;BA1305-1909005187;10/02/2020;13/02/2020;Bestcom;2526;BUENO;CAMBIO UTP
;RECOGIDO;4;000F1E77B1C0;280500840390168;;13/02/2020;KINTYPE;1054;MALO;CAMBIO 
1156;Dicelar;4;E0:67:B3:ED:64:94;BA1305-1909005188;10/02/2020;14/02/2020;Bestcom;2524;BUENO;INSTALACION 
1157;Dicelar;4;E0:67:B3:ED:64:9C;BA1305-1909005189;10/02/2020;17/02/2020;Bestcom;3052;BUENO;INSTALACION 
1158;Dicelar;4;E0:67:B3:ED:64:A4;BA1305-1909005190;10/02/2020;17/02/2020;Bestcom;3168;BUENO;INSTALACION 
1159;Dicelar;4;E0:67:B3:ED:64:AC;BA1305-1909005191;10/02/2020;18/02/2020;Bestcom;3170;BUENO;INSTALACION 
1160;Dicelar;4;E0:67:B3:ED:64:B4;BA1305-1909005192;10/02/2020;21/02/2020;Bestcom;3174;BUENO;INSTALACION 
1161;Dicelar;4;E0:67:B3:ED:64:BC;BA1305-1909005193;10/02/2020;21/02/2020;Bestcom;3175;BUENO;INSTALACION 
1162;Dicelar;4;E0:67:B3:ED:64:C4;BA1305-1909005194;10/02/2020;21/02/2020;Bestcom;2715;MALO;CAMBIO
1163;Dicelar;4;E0:67:B3:ED:64:CC;BA1305-1909005195;10/02/2020;24/02/2020;Bestcom;3176;BUENO;INSTALACION 
1164;Dicelar;4;E0:67:B3:ED:64:D4;BA1305-1909005196;10/02/2020;06/10/2020;Bestcom;3506;BUENO;DISPONIBLE CABLE MODEM
1165;Dicelar;4;E0:67:B3:ED:64:DC;BA1305-1909005197;10/02/2020;20/03/2020;Bestcom;3204;BUENO;INSTALACION 
1166;Dicelar;4;E0:67:B3:ED:64:E4;BA1305-1909005198;10/02/2020;24/02/2020;Bestcom;761;BUENO;INSTALACION 
1167;Dicelar;4;E0:67:B3:ED:64:EC;BA1305-1909005199;10/02/2020;24/02/2020;Bestcom;1220;BUENO;INSTALACION 
1168;Dicelar;4;E0:67:B3:ED:64:F4;BA1305-1909005200;10/02/2020;25/02/2020;Bestcom;1493;BUENO;INSTALACION 
1169;RECOGIDO;4;00:0F:1E:77:63:15;280400832030620;;14/02/2020;KINTYPE;3159;BUENO;CAMBIO DE CABLE MODEM
1170;Dicelar;4;E0:67:B3:74:6C:C;BA1302-1704002641;;14/02/2020;WIFI;3117;BUENO;CAMBIO DE CABLE MODEM
1291;RECOGIDO;4;E0:67:B3:A3:83:5B;BA1305-1901002176;27/02/2020;25/02/2020;WIFI;3177;BUENO;INSTALACION
1292;RECOGIDO;4;00:0F:1E:71:B9:C9; 271.000.788.130.014 ;27/02/2020;29/02/2020;KYNTYPE;2742;MALO;CAMBIO
1293;RECOGIDO;4;00:0F:1E:73:82:6D; 271.100.801.260.148 ;27/02/2020;25/02/2020;KYNTYPE;3178;BUENO;INSTALACION
1304;Dicelar;4;E0:67:B3:ED:53:2C;BA1305-1909004631;26/02/2020;27/02/2020;Bestcom;3324;BUENO;INSTALACION
1305;Dicelar;4;E0:67:B3:ED:53:34;BA1305-1909004632;26/02/2020;27/02/2020;Bestcom;3179;BUENO;INSTALACION
1306;Dicelar;4;E0:67:B3:ED:53:3C;BA1305-1909004633;26/02/2020;28/02/2020;Bestcom;3182;BUENO;INSTALACION
1307;Dicelar;4;E0:67:B3:ED:53:44;BA1305-1909004634;26/02/2020;28/02/2020;Bestcom;1574;MALO;CAMBIO
1308;Dicelar;4;E0:67:B3:ED:53:4C;BA1305-1909004635;26/02/2020;28/02/2020;Bestcom;3183;BUENO;INSTALACION
1309;Dicelar;4;E0:67:B3:ED:53:54;BA1305-1909004636;26/02/2020;03/03/2020;Bestcom;3184;BUENO;INSTALACION
1310;Dicelar;4;E0:67:B3:ED:53:5C;BA1305-1909004637;26/02/2020;29/02/2020;Bestcom;2853;BUENO;INSTALACION
1311;Dicelar;4;E0:67:B3:ED:53:64;BA1305-1909004638;26/02/2020;03/03/2020;Bestcom;3185;BUENO;iNSTALACION
1312;Dicelar;4;E0:67:B3:ED:53:6C;BA1305-1909004639;26/02/2020;02/03/2020;Bestcom;3186;BUENO;iNSTALACION
1313;Dicelar;4;E0:67:B3:ED:53:74;BA1305-1909004640;26/02/2020;02/03/2020;Bestcom;3187;BUENO;iNSTALACION
1314;RECOGIDO;4;00:0F:1E:72:6B:C1;271000788130048;26/02/2020;26/02/2020;KYNTYPE;2059;MALO;CAMBIO
1315;RECOGIDO;4;E067B3A3F6E0;BA1305-1901005873;26/02/2020;05/03/2020;WIFI;3188;BUENO;INSTALACION
1316;RECOGIDO;4;7C877903EF5E;ES7101-18092491;26/02/2020;05/03/2020;WIFI;3189;BUENO;INSTALACION
1317;RECOGIDO;4;E8:9F:EC:04:BF:89;290100893540548;26/02/2020;05/03/2020;KYNTYPE;3271;BUENO;INSTALACION
1328;Dicelar;4;E0:67:B3:ED:04:6C;BA1305-1909002111;04/03/2020;12/03/2020;Bestcom;3191;BUENO;INSTALACION
1329;Dicelar;4;E0:67:B3:ED:04:74;BA1305-1909002112;04/03/2020;12/03/2020;Bestcom;3193;BUENO;INSTALACION
1330;Dicelar;4;E0:67:B3.ED.04:7C;BA1305-1909002113;04/03/2020;12/03/2020;Bestcom;3194;BUENO;INSTALACION
1331;Dicelar;4;E0:67:B3:ED:04:84;BA1305-1909002114;04/03/2020;12/03/2020;Bestcom;3196;BUENO;INSTALACION
1332;Dicelar;4;E0:67:B3:ED:04:8C;BA1305-1909002115;04/03/2020;13/03/2020;Bestcom;3197;BUENO;INSTALACION
1333;Dicelar;4;E0:67:B3:ED:04:94;BA1305-1909002116;04/03/2020;04/08/2020;Bestcom;2587;BUENO;INSTALACION
1334;Dicelar;4;E0:67:B3:ED:04:9C;BA1305-1909002117;04/03/2020;17/03/2020;Bestcom;1118;BUENO;INSTALACION
1335;Dicelar;4;E0:67:B3:ED:04:A4;BA1305-1909002118;04/03/2020;17/03/2020;Bestcom;3200;BUENO;INSTALACION
1336;Dicelar;4;E0:67:B3.ED:04:AC;BA1305-1909002119;04/03/2020; 17/03/2020;Bestcom;3199;BUENO;INSTALACION
1337;Dicelar;4;E0:67:B3:ED:04:B4;BA1305-1909002120;04/03/2020;17/02/2020;Bestcom;3201;BUENO;INSTALACION
1378;RECOGIDO;4;00:0F:1E:77:F5:A4; 280.400.832.030.605 ;10/03/2020;11/03/2020;KYNTYPE;1287;MALO;CAMBIO
1419;RECOGIDO;4;E0:67:B3:E7:CC:1F;BA1305-1905003405;;19/03/2020;WIFI;3202;BUENO;INSTALACION
;RECOGIDO;4;E0:67:B3:27:BE:79;BA1305-1803000474;;17/03/2020;WIFI;1135;BUENO;CAMBIO CABLE MODEM
;RECOGIDO;4;00:0F:1E:76:8B:FD;;;17/03/2020;KYNTYPE;3155;MALO;CAMBIO 
1420;RECOGIDO;4;00:0F:1E:77:B6:05;280500840390809;;20/03/2020;KYNTYPE;2990;MALO;CAMBIO
1421;RECOGIDO;4;00:0F:1E:77:60:61;280500840390835;;24/03/2020;KYNTYPE;1427;BUENO;INSTALACION 
1422;RECOGIDO;4;E0:67:B3:A3:83:33;BA1305-1901002171;;1903/2020;WIFI;3205;BUENO;INSTALACION 
1423;RECOGIDO;4;00:0F:1E:77:AF:39;280600846230859,00;;24/03/2020;KYNTYPE;3206;BUENO;INSTALACION
1424;RECOGIDO;4;00:0F:1E:78:A4:B9;280700855231418,00;;2403/2020;KYNTYPE;3207;BUENO;INSTALACION
1445;RECOGIDO;4;000F1E737C:1C;271100801260168,00;;24/03/2020;KYNTYPE;1890;BUENO;INSTALACION
1446;RECOGIDO;4;00:0F:1E:78:6B:E1;280500840390842,00;;26/03/2020;KYNTYPE;3208;BUENO;INSTALACION
1447;Dicelar;4;E0:67:B3:ED:13:1C;BA1305-1909002581;26/03/2020;27/03/2020;Bestcom;3067;MALO;CAMBIO
1448;Dicelar;4;E0:67:B3:ED:13:24;BA1305-1909002582;26/03/2020;27/03/2020;Bestcom;50331;MALO;CAMBIO
1449;Dicelar;4;E0:67:B3:ED:13:2C;BA1305-1909002583;26/03/2020;27/03/2020;Bestcom;2623;MALO;CAMBIO
1450;Dicelar;4;E0:67:B3:ED:13:34;BA1305-1909002584;26/03/2020;27/03/2020;Bestcom;5263;MALO;CAMBIO
1451;Dicelar;4;E0:67:B3:ED:13:3C;BA1305-1909002585;26/03/2020;28/03/2020;Bestcom;953;BUENO;INSTALACION
1452;Dicelar;4;E0:67:B3:ED:13:44;BA1305-1909002586;26/03/2020;28/03/2020;Bestcom;3209;BUENO;INSTALACION
1453;Dicelar;4;E0:67:B3:ED:13:4C;BA1305-1909002587;26/03/2020;28/03/2020;Bestcom;3210;BUENO;INSTALACION
1454;Dicelar;4;E0:67:B3:ED:13:54;BA1305-1909002588;26/03/2020;29/03/2020;Bestcom;3211;BUENO;INSTALACION
1455;Dicelar;4;E0:67:B3:ED:13:5C;BA1305-1909002589;26/03/2020;30/03/2020;Bestcom;3212;BUENO;INSTALACION
1456;Dicelar;4;E0:67:B3:ED:13:64;BA1305-1909002590;26/03/2020;30/03/2020;Bestcom;3213;BUENO;INSTALACION
1477;RECOGIDO;4;000F1E77B604;280500840390809;;01/04/2020;KYNTYPE;3214;BUENO;INSTALACION
1478;RECOGIDO;4;000F1E71B6F8;271000788130002;;02/04/2020;KYNTYPE;806;MALO;CAMBIO
1479;RECOGIDO;4;E067B32A8452;BA1302-1704002640;;02/04/2020;WIFI;3216;BUENO;INSTALACION
1520;;4;E0:67:B3:A1:6C:24;BA1305-1810000478;;;WIFI;3217;BUENO;INSTALACION
1536;Dicelar;4;E0:67:B3:F0:FE:8C;BA1306-1912005221;07/04/2020;08/04/2020;WIFI;3218;BUENO;INSTALACION
1537;Dicelar;4;E0:67:B3:F0:FE:A1;BA1306-1912005224;07/04/2020;08/04/2020;WIFI;2700;BUENO;INSTALACION
1538;Dicelar;4;E0:67:B3:F0:FE:A9;BA1306-1912005225;07/04/2020;08/04/2020;WIFI;1472;BUENO;INSTALACION
1539;Dicelar;4;E0:67:B3:F0:FE:B1;BA1306-1912005226;07/04/2020;08/04/2020;WIFI;3220;BUENO;INSTALACION
1540;Dicelar;4;E0:67:B3:F0:FE:C1;BA1306-1912005228;07/04/2020;08/04/2020;WIFI;3221;BUENO;INSTALACION
1541;Dicelar;4;E0:67:B3:F0:FE:C9;BA1306-1912005229;07/04/2020;16/04/2020;WIFI;3222;BUENO;INSTALACION
1542;Dicelar;4;E0:67:B3:F0:FE:D1;BA1306-1912005230;07/04/2020;16/04/2020;WIFI;3223;BUENO;INSTALACION
1543;Dicelar;4;E0:67:B3:F0:FE:D9;BA1306-1912005231;07/04/2020;16/04/2020;WIFI;3224;BUENO;INSTALACION
1544;Dicelar;4;E0:67:B3:F0:FE:E1;BA1306-1912005232;07/04/2020;16/04/2020;WIFI;3225;BUENO;INSTALACION
1545;Dicelar;4;E0:67:B3:F0:FE:E9;BA1306-1912005233;07/04/2020;15/04/2020;WIFI;2859;BUENO;INSTALACION
1546;Dicelar;4;E0:67:B3:F0:FE:F1;BA1306-1912005234;07/04/2020;15/04/2020;WIFI;3226;BUENO;INSTALACION
1547;Dicelar;4;E0:67:B3:F0:FE:F9;BA1306-1912005235;07/04/2020;15/04/2020;WIFI;3227;BUENO;INSTALACION
1548;Dicelar;4;E0:67:B3:F0:FE:01;BA1306-1912005236;07/04/2020;17/04/2020;WIFI;2461;BUENO;INSTALACION
1549;Dicelar;4;E0:67:B3:F0:FE:11;BA1306-1912005238;07/04/2020;17/04/2020;WIFI;3228;BUENO;INSTALACION
1550;Dicelar;4;E0:67:B3:F0:FF:19;BA1306-1912005239;07/04/2020;18/04/2020;WIFI;3229;BUENO;INSTALACION
1551;Dicelar;4;E0:67:B3:F0:FF:21;BA1306-1912005240;07/04/2020;18/04/2020;WIFI;3230;BUENO;INSTALACION
1552;Dicelar;4;E0:67:B3:F0:DC:D9;BA1306-1912004143;07/04/2020;20/04/2020;WIFI;3231;BUENO;INSTALACION
1553;Dicelar;4;E0:67:B3:F1:16:99;BA1306-1912005991;07/04/2020;18/04/2020;WIFI;931;BUENO;INSTALACION
1554;Dicelar;4;E0:67:B3:F1:16:A1;BA1306-1912005992;07/04/2020;21/04/2020;WIFI;3238;BUENO;INSTALACION
1595;RECOGIDO;4;000F1E786D30;280500840390827;;20/04/2020;KYNTYPE;2545;BUENO;INSTALACION
1596;RECOGIDO;4;E0:67:B3:2A:3A:3A;BA1302-1703001722;;21/04/2020;WIFI;560;BUENO;INSTALACION
1608;RECOGIDO;4;E0:67:B3:2A:AA:68;BA1302-1704007509;10/08/2020;11/08/2020;WIFI;3421;BUENO;INSTALACION
1609;RECOGIDO;4;E0:67:B3:27:B6:71;BA1305-1803000217;10/08/2020;24/04/2020;WIFI;3026;BUENO;CAMBIO CABLE MODEM
1630;Dicelar;4;E0:67:B3:F2:38:D5;BA1310-2003007827;25/04/2020;07/10/2020;EOC;3509;BUENO;INSTALACION
1631;Dicelar;4;E0:67:B3:F2:38:DA;BA1310-2003007828;25/04/2020;27/04/2020;EOC;3265;BUENO;INSTALACION
1632;Dicelar;4;E0:67:B3:F2:38:DF;BA1310-2003007829;25/04/2020;27/04/2020;EOC;3262;BUENO;INSTALACION
1633;Dicelar;4;E0:67:B3:F2:38:E4;BA1310-2003007830;25/04/2020;;EOC;;DA헤DO;NO DA LINK, DA헤DO
1634;Dicelar;4;E0:67:B3:F2:38:E9;BA1310-2003007831;25/04/2020;27/04/2020;EOC;3266;BUENO;INSTALACION
1635;Dicelar;4;E0:67:B3:F2:38:D0;BA1310-2003007826;25/04/2020;28/04/2020;EOC;3257;BUENO;INSTALACION
1636;Dicelar;4;E0:67:B3:F2:38:F0;BA1310-2003007833;25/04/2020;28/04/2020;EOC;3261;BUENO;INSTALACION
1637;Dicelar;4;E0:67:B3:F2:38:F5;BA1310-2003007834;25/04/2020;28/04/2020;EOC;3301;BUENO;INSTALACION
1638;Dicelar;4;E0:67:B3:F2:38:FA;BA1310-2003007835;25/04/2020;28/04/2020;EOC;50140;BUENO;INSTALACION
1639;Dicelar;4;E0:67:B3:F2:38:EB;BA1310-2003007832;25/04/2020;28/04/2020;EOC;3259;BUENO;INSTALACION
1640;Dicelar;4;E0:67:B3:F2:38:B4;BA1310-2003007821;25/04/2020;28/04/2020;EOC;3269;BUENO;INSTALACION
1641;Dicelar;4;E0:67:B3:F2:38:C3;BA1310-2003007824;25/04/2020;29/04/2020;EOC;3243;BUENO;INSTALACION
1642;Dicelar;4;E0:67:B3:F2:38:C8;BA1310-2003007825;25/04/2020;29/04/2020;EOC;3256;BUENO;INSTALACION
1643;Dicelar;4;E0:67:B3:F2:38:BE;BA1310-2003007825;25/04/2020;29/04/2020;EOC;3245;BUENO;INSTALACION
1644;Dicelar;4;E0:67:B3:F2:38:B9;BA1310-2003007822;25/04/2020;29/04/2020;EOC;3260;BUENO;INSTALACION
1645;Dicelar;4;E0:67:B3:F2:38:B2;BA1310-2003007820;25/04/2020;29/04/2020;EOC;3272;BUENO;INSTALACION
1646;Dicelar;4;E0:67:B3:F2:38:9B;BA1310-2003007816;25/04/2020;29/04/2020;EOC;3255;BUENO;INSTALACION
1647;Dicelar;4;E0:67:B3:F2:38:AA;BA1310-2003007819;25/04/2020;29/04/2020;EOC;3246;BUENO;INSTALACION
1648;Dicelar;4;E0:67:B3:F2:38:A0;BA1310-2003007817;25/04/2020;29/04/2020;EOC;2733;BUENO;INSTALACION
1649;Dicelar;4;E0:67:B3:F2:38:A5;BA1310-2003007818;25/04/2020;29/04/2020;EOC;3252;BUENO;INSTALACION
1750;Hessam Mansour;4;E0:67:B3:F1:E5:E4;BA1310-2003003581;27/04/2020;29/04/2020;EOC;3253;BUENO;INSTALACION
1751;Hessam Mansour;4;E0:67:B3:F1:E5:E9;BA1310-2003003582;27/04/2020;29/04/2020;EOC;3254;BUENO;INSTALACION
1752;Hessam Mansour;4;E0:67:B3:F1:E5:EE;BA1310-2003003583;27/04/2020;29/04/2020;EOC;3297;BUENO;INSTALACION
1753;Hessam Mansour;4;E0:67:B3:F1:E5:F3;BA1310-2003003584;27/04/2020;29/04/2020;EOC;3248;BUENO;INSTALACION
1754;Hessam Mansour;4;E0:67:B3:F1:E5:F8;BA1310-2003003585;27/04/2020;29/04/2020;EOC;3249;BUENO;INSTALACION
1755;Hessam Mansour;4;E0:67:B3:F1:E5:CB;BA1310-2003003576;27/04/2020;27/05/2020;EOC;3302;BUENO;INSTALACION
1756;Hessam Mansour;4;E0:67:B3:F1:E5:D0;BA1310-2003003577;27/04/2020;29/04/2020;EOC;3251;BUENO;INSTALACION
1757;Hessam Mansour;4;E0:67:B3:F1:E5:D5;BA1310-2003003578;27/04/2020;29/04/2020;EOC;3233;BUENO;INSTALACION
1758;Hessam Mansour;4;E0:67:B3:F1:E5:DA;BA1310-2003003579;27/04/2020;29/04/2020;EOC;3234;BUENO;INSTALACION
1759;Hessam Mansour;4;E0:67:B3:F1:E5:DF;BA1310-2003003580;27/04/2020;29/04/2020;EOC;3235;BUENO;INSTALACION
1760;Hessam Mansour;4;E0:67:B3:F1:E5:FD;BA1310-2003003586;27/04/2020;29/04/2020;EOC;3236;BUENO;INSTALACION
